scheme_name,eligibility_text,question,actual_data,normal_question,abc,A,B,C,D
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,Accidental death (excluding suicide or intoxication),Are you accidental death (excluding suicide or intoxication)?,Death (Cause - Natural or Suicide or accident or intoxication or criminal incident),Accidental death (excluding suicide or intoxication)?,,Has there been a death in the family for which you want to apply?,"Cause of death (Natural death,Accident,Criminal incident,Suicide,Intoxication / poisoning)",-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,Age between 18 and 65 years,Are you age between 18 and 65 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,Worker or craftsman in the unorganized sector,Do you work as worker or craftsman in the unorganized sector?,occupation_Worker or craftsman in unorganized sector,Worker or craftsman in the unorganized sector?,,occupation,Unorganised sector worker / craftsman,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,Suffered accidental injury,Are you suffered accidental injury?,occupation_Worker or craftsman in unorganized sector - (Suffer accidental injury),Suffered accidental injury?,,occupation,Unorganised sector worker / craftsman,Suffered accidental injury?,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,Aged between 18 and 65 years,Is your age between 18 and 65 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,Worker or craftsman in the unorganized sector,Do you work as worker or craftsman in the unorganized sector?,occupation_Worker or craftsman in unorganized sector,Worker or craftsman in the unorganized sector?,,occupation,Unorganised sector worker / craftsman,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,"Suffering from incurable diseases (Cancer, Heart disease, AIDS, etc.)","Are you suffering from incurable diseases (Cancer, Heart disease, AIDS, etc.)?","medical diseases - (Cancer, Heart disease, AIDS, etc.)","Suffering from incurable diseases (Cancer, Heart disease, AIDS, etc.)?",,have any of the following medical conditions?,"Cancer,Heart disease,HIV / AIDS,Leprosy,Other serious / incurable disease,None of the above",-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,Age between 18 and 65 years,Are you age between 18 and 65 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,Worker or craftsman in the unorganized sector,Do you work as worker or craftsman in the unorganized sector?,occupation_Worker or craftsman in unorganized sector,Worker or craftsman in the unorganized sector?,,occupation,Unorganised sector worker / craftsman,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,Death must be natural (not accidental),Are you death must be natural (not accidental)?,Death (Cause - Natural or Suicide or accident or intoxication or criminal incident),Death must be natural (not accidental)?,,Has there been a death in the family for which you want to apply?,"Cause of death (Natural death,Accident,Criminal incident,Suicide,Intoxication / poisoning)",-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,Aged between 18 and 65 years,Is your age between 18 and 65 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,Worker or craftsman in the unorganized sector,Do you work as worker or craftsman in the unorganized sector?,occupation_Worker or craftsman in unorganized sector,Worker or craftsman in the unorganized sector?,,occupation,Unorganised sector worker / craftsman,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,Suffering from permanent partial disability (one eye or one leg useless),Do you have a benchmark disability (Divyangjan)?,Disabled person (permanent partial disability (one eye or one leg useless)),Suffering from permanent partial disability (one eye or one leg useless)?,,Do you have a disability?,"Type of disability(Locomotor (difficulty in walking / movement),Visual (blindness / one eye affected),Hearing / speech,Other disability) ",-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,Age between 18 and 65 years,Are you age between 18 and 65 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,Worker or craftsman in the unorganized sector,Do you work as worker or craftsman in the unorganized sector?,occupation_Worker or craftsman in unorganized sector,Worker or craftsman in the unorganized sector?,,occupation,Unorganised sector worker / craftsman,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,Suffered total permanent disability due to accident,Have you suffered total permanent disability due to an accident?,occupation_Worker or craftsman - (Suffer permanent disability),Suffered total permanent disability due to accident?,,occupation,Unorganised sector worker / craftsman,Suffered total permanent disability ?,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,Aged between 18 and 65 years,Is your age between 18 and 65 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar Shatabdi Leper Welfare Scheme,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi Leper Welfare Scheme,Leprosy patient with Visible Deformities Grade-II,Are you a leprosy patient with visible deformities classified as Grade-II?,medical diseases - (Leprosy patient with Visible Deformities Grade-II),Leprosy patient with Visible Deformities Grade-II?,,have any of the following medical conditions?,"Cancer,Heart disease,HIV / AIDS,Leprosy,Other serious / incurable disease,None of the above",-,-
Bihar Startup Policy,Incorporated/registered in Bihar with an office in Bihar,Are you registered with the required authority (Incorporated/registered in Bihar with an office in Bihar)?,occupation - Business Startup - registered in bihar,Incorporated/registered in Bihar with an office in Bihar?,,occupation,Business Startup,"Registered in bihar?, How many years ago was the entity incorporated?,What is the annual turnover of the entity?,Does your startup work towards innovation or a scalable business model?,Was the entity formed by splitting up or reconstructing an existing business?",-
Bihar Startup Policy,Annual turnover not exceeding ₹100 crore,Are you annual turnover not exceeding ₹100 crore?,occupation - Business Startup - tournover,Annual turnover not exceeding ₹100 crore?,,occupation,Business Startup,"Registered in bihar?, How many years ago was the entity incorporated?,What is the annual turnover of the entity?,Does your startup work towards innovation or a scalable business model?,Was the entity formed by splitting up or reconstructing an existing business?",-
Bihar Startup Policy,Working towards innovation or scalable business model,Are you working towards innovation or scalable business model?,occupation - Business Startup - Working towards innovation or scalable business model,Working towards innovation or scalable business model?,,occupation,Business Startup,"Registered in bihar?, How many years ago was the entity incorporated?,What is the annual turnover of the entity?,Does your startup work towards innovation or a scalable business model?,Was the entity formed by splitting up or reconstructing an existing business?",-
Bihar Startup Policy,Not formed by splitting up an existing business,Are you not formed by splitting up an existing business?,occupation - Business Startup - Not formed by splitting up an existing business,Not formed by splitting up an existing business?,,occupation,Business Startup,"Registered in bihar?, How many years ago was the entity incorporated?,What is the annual turnover of the entity?,Does your startup work towards innovation or a scalable business model?,Was the entity formed by splitting up or reconstructing an existing business?",-
Bihar Startup Policy,Entity age up to 10 years from incorporation,Are you entity age up to 10 years from incorporation?,occupation - Business Startup - Age upto 10 years from incorporation,Entity age up to 10 years from incorporation?,,occupation,Business Startup,"Registered in bihar?, How many years ago was the entity incorporated?,What is the annual turnover of the entity?,Does your startup work towards innovation or a scalable business model?,Was the entity formed by splitting up or reconstructing an existing business?",-
Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,Belong to a minority community,Do you belong to the following category: MINORITY?,Belong to_minority community,Belong to a minority community?,,Do you belong to a minority community?,-,-,-
Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,Age max 16 for Class 9 and 18 for Class 11,Are you age max 16 for Class 9 and 18 for Class 11?,Age,What is your age?,,What is your age?,-,-,-
Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,"Annual family income not exceeding ₹6,00,000",Is your annual family income less than or equal to ₹6?,Family Income Annual,"Annual family income not exceeding ₹6,00,000?",,Annual family income ?,-,-,-
Bihar State Journalist Insurance Scheme,Journalist or media representative,Are you journalist or media representative?,occupation - Journalist or media representative,Journalist or media representative?,,occupation,Journalist or media representative,-,-
Bihar State Journalist Insurance Scheme,Age between 21 and 70 years,Are you age between 21 and 70 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar State Journalist Insurance Scheme,Minimum 5 years of work experience,Are you minimum 5 years of work experience?,occupation - Journalist or media representative -Work experience (Years),Minimum 5 years of work experience?,,occupation,Journalist or media representative,Work experience (Years),-
Bihar State Journalist Insurance Scheme,Residing and working in Bihar,Are you residing and working in Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar State Journalist Insurance Scheme,Educational qualification: Matriculation or equivalent,Have you completed the required educational qualification (Educational qualification: Matriculation or equivalent)?,"Educational qualification: (12th, ITI, or Polytechnic Diploma, other)",Educational qualification: Matriculation or equivalent?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Bihar State Madarsa Strengthening Scheme,Madarsa located in Bihar and recognized by Bihar State Madarsa Board,Are you madarsa located in Bihar and recognized by Bihar State Madarsa Board?,other,Madarsa located in Bihar and recognized by Bihar State Madarsa Board?,,,-,-,-
Bihar State Madarsa Strengthening Scheme,No disciplinary action in the past three years,Are you no disciplinary action in the past three years?,other,No disciplinary action in the past three years?,,,-,-,-
Bihar State Madarsa Strengthening Scheme,Enrollment of more than 70 students,Are you enrollment of more than 70 students?,Other - Enrollment of more than 70 students,Enrollment of more than 70 students?,,,-,-,-
Bihar State Madarsa Strengthening Scheme,Recognized for at least two years,Are you recognized for at least two years?,other,Recognized for at least two years?,,,-,-,-
Bihar State Madarsa Strengthening Scheme,"Possess legally owned, dispute-free land",Is the land you own or lease legally registered and free from any disputes?,other,"Possess legally owned, dispute-free land?",,,-,-,-
Bihar Student Credit Card Scheme,Age not more than 25 years,Are you age not more than 25 years?,Age,What is your age?,,What is your age?,-,-,-
Bihar Student Credit Card Scheme,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Student Credit Card Scheme,Passed class 12th,Have you passed at least one of the following qualifications: 12Th?,Educational qualification: (12th),Passed class 12th?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Bihar Student Credit Card Scheme,Admission to an authorized institute for recognized courses,Are you admission to an authorized institute for recognized courses?,Occupation - Student (admission to an authorized institute),Admission to an authorized institute for recognized courses?,,occupation,Student,-,-
Cash Prizes Scheme (BBOCWWB),Registered construction worker with BBOCWWB,Are you a construction worker registered with the (BBOCWWB) Bihar Building & Other Construction Workers Welfare Board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Cash Prizes Scheme (BBOCWWB),Active membership for at least one year,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - membership period,Active membership for at least one year?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Cash Prizes Scheme (BBOCWWB),Maximum of two children eligible,Are you maximum of two children eligible?,Children (girl or boy),Maximum of two children eligible?,,How many children do you have?,"0,1,2 , 3or more",-,-
Cash Prizes Scheme (BBOCWWB),Child passed 10th or 12th from a Bihar board with 60% or above,Have you passed at least one of the following qualifications: 12Th?,Educational qualification: (Child passed 10th or 12th from a Bihar board with 60% or above),Child passed 10th or 12th from a Bihar board with 60% or above?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",Marks optained in 10th and 12th,-
Chai Vikas Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Chai Vikas Yojana,"Farmer in Kishanganj, Araria, Supaul, Purnia, or Katihar",Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Chai Vikas Yojana,Minimum land area of 2 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Chief Minister BC & EBC Chhatravas Anudan Yojana,Age between 11 and 40 years,Are you age between 11 and 40 years?,Age,What is your age?,,What is your age?,-,-,-
Chief Minister BC & EBC Chhatravas Anudan Yojana,"Annual family income less than ₹3,00,000",Is your annual family income less than or equal to ₹3?,Family Income Annual,"Annual family income less than ₹3,00,000?",,Annual family income ?,-,-,-
Chief Minister BC & EBC Chhatravas Anudan Yojana,Residing in a government hostel,Are you residing in a government hostel?,Reside in-  government hostel,Residing in a government hostel?,,Where do you currently live?,"Government hostel,Welfare hostel (SC/ST / OBC–EBC / Minority department),Private hostel / rented accommodation,Own house,Other",-,-
Chief Minister BC & EBC Chhatravas Anudan Yojana,Belong to BC or EBC category,"Do you belong to the following category: BC, EBC?",Belong to_Backward Class (BC) or Extremely Backward Class (EBC),Belong to BC or EBC category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Chief Minister Divyangjan Empowerment Scheme (Sambal),Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Chief Minister Divyangjan Empowerment Scheme (Sambal),Disabled person (Divyangjan),Do you have a benchmark disability (Divyangjan)?,Disabled person (Divyangjan),Disabled person (Divyangjan)?,,Do you have a disability?,-,-,-
Chief Minister Divyangjan Empowerment Scheme (Sambal),Age 18-60 for loans,Are you 18 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Chief Minister Divyangjan Empowerment Scheme (Sambal),Age 6-18 for special schools,Are you 6 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Chief Minister Divyangjan Empowerment Scheme (Sambal),Age 18+ for shelter homes,Are you 18 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Chief Minister EBC Civil Seva Protsahan Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Chief Minister EBC Civil Seva Protsahan Yojana,"Passed preliminary examination of UPSC, BPSC, or other specified exams","Have you completed the required educational qualification (Passed preliminary examination of UPSC, BPSC, or other specified exams)?","Educational qualification: (Passed preliminary examination of UPSC, BPSC, or other specified exams)","Passed preliminary examination of UPSC, BPSC, or other specified exams?",,What is your current / highest education level?,"Passed UPSC preliminary,Passed BPSC preliminary,Passed other competitive exam preliminary,None",-,-
Chief Minister EBC Civil Seva Protsahan Yojana,Not previously received the same incentive,Does the following apply to you: Not previously received the same incentive?,other,Not previously received the same incentive?,,,-,-,-
Chief Minister EBC Civil Seva Protsahan Yojana,Not employed in government/PSU,Does the following apply to you: Not employed in government/PSU?,occupation_Employment - Governement/PSU or other,Not employed in government/PSU?,,occupation,employment ,"Government / PSU employee,Semi-government employee,Private sector employee,Self-employed, retired government officer)",-
Chief Minister EBC Civil Seva Protsahan Yojana,Belong to Extremely Backward Class (EBC),Do you belong to the following category: EBC?,Belong to_Backward Class (BC) or Extremely Backward Class (EBC),Belong to Extremely Backward Class (EBC)?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Chief Minister Family Benefit Scheme,Deceased died in accident (any age) or criminal incident (18-60 years),Are you deceased died in accident (any age) or criminal incident (18-60 years)?,Death (Cause - Natural or Suicide or accident or intoxication or criminal incident),Deceased died in accident (any age) or criminal incident (18-60 years)?,,Has there been a death in the family for which you want to apply?,"Cause of death (Natural death,Accident,Criminal incident,Suicide,Intoxication / poisoning)",-,-
